anio,EEFamilia,Agua,Gas,Telefono
1968,100,100,100,100
1969,121.125618422143,147.714168807491,104.309488170216,
1970,123.180574877075,156.366099299286,118.059834843838,
1971,95.8128315231119,136.160679464511,92.9916759282647,
1972,82.1967970214505,97.2145710227088,65.8098357970798,
1973,104.22829657481,80.2922813546089,76.5403295746224,125.138627014845
1974,95.7475906550876,70.6032038099842,85.5309223517535,108.253208831073
1975,98.8923434565526,67.536669106125,132.497359472821,96.1471073244469
1976,114.035262597883,62.6718976368873,116.149943887634,94.4000728947017
1977,112.150095827366,51.6964716269457,101.183421393856,82.2716408824392
1978,101.372708962627,47.0412577918015,77.5214005257726,68.9379366109939
1979,86.0654543311678,36.2079778563294,60.6004772331089,53.9347583103236
1980,96.8886285477251,42.4742931933142,78.1594934694036,69.3031950720276
1981,86.5304204980788,44.5932006519028,73.3197325872825,73.7422649042603
1982,87.1953192959981,43.7519407119495,68.5524129096801,74.923907956322
1983,100.548815939901,43.444902264539,74.5429886425719,80.5439969958167
1984,98.4158293676367,41.3534013981784,74.7899412999935,78.9714114656596
1985,92.6120920918136,52.1906423644494,78.4814452365357,78.5697970841624
1986,92.6442647833053,58.4359142412149,71.0256007866693,75.7505233409396
1987,94.6128785867225,59.1852592860591,69.7691095253035,73.1366986541577
1988,90.9535563470027,53.5772429261882,63.6696452326732,68.4410814268767
1989,91.6644435933845,48.9312068749576,54.339502146234,60.7819957577097
1990,87.0780682584009,46.144427327204,56.0367339224147,50.9376739584524
1991,82.1408954748467,56.4879947152139,60.3526284508945,52.2799337622969
1992,78.0052021817636,61.8659853262298,57.1381964350808,53.2328148196025
1993,79.0273202423815,68.99934850987,51.5679412320587,52.6050037365217
1994,88.1418550884562,81.7329829160198,50.2588085315528,57.5174121424461
1995,98.6022131564393,87.9161200467713,51.3948910834022,59.0736875726308
1996,104.112636480488,95.3941186618648,51.994494826003,62.6921515573121
1997,110.426299646492,107.117739193047,55.384441681268,61.1589237210822
1998,112.412375639992,109.665966497172,56.2567789469916,61.1371127476734
1999,112.297051059041,112.011180848086,56.6980218464894,61.820529906144
2000,109.537390029052,110.430189145919,60.3682619687522,60.9477553745365
2001,109.909627993111,112.416872602096,63.7007012882011,61.2672903906047
2002,102.483983694769,106.490720195444,63.5674289906917,55.8164519530349
2003,124.478026110585,126.458958246898,90.9265530412116,62.2689649087667
2004,128.200087807771,131.447404791062,99.8734030163643,62.5567467772156
2005,131.000093761571,131.306098420749,94.3057185126001,57.1949943336933
2006,135.549941680168,131.237900808081,90.5744957300081,55.3055853566787
2007,136.061092786917,131.279667881799,82.1535764813453,48.8025306398705
2008,133.388453334225,124.95742805902,81.6243531665095,42.755054039026
2009,143.925272350552,126.957780463934,67.7906943621133,40.3722882189139
2010,142.110970648487,125.823820513032,62.4552873825557,37.1447034342541
2011,137.961330305551,121.93586445918,70.5557381560731,
2012,113.516713091031,120.003395386261,71.4765343570426,
2013,108.930963378104,118.725926859823,72.3857591112872,
2014,97.7131008749752,118.105937419541,70.0259833642592,
2015,95.5137801571909,117.794908378005,69.2716979746201,
2016,100.369160349167,119.172196275014,59.6312671741271,
2017,102.307484904309,133.14501851391,60.8301009143205,
2018,108.375406046382,131.198803250027,68.1850146871767,
2019,83.9255279458173,129.892604650749,66.5323405919253,
